tamanho da serie: 30, tamanho da janela: 4
serie total - max: 99.900000, min: 3.000000, media: 23.900000
janela 0 - max: 25.000000, min: 10.000000, media: 17.625000
janela 1 - max: 25.000000, min: 15.500000, media: 20.975000
janela 2 - max: 25.000000, min: 20.000000, media: 22.825000
janela 3 - max: 25.000000, min: 10.300000, media: 20.400000
janela 4 - max: 23.400000, min: 3.000000, media: 14.900000
janela 5 - max: 22.900000, min: 3.000000, media: 11.300000
janela 6 - max: 99.900000, min: 3.000000, media: 30.550000
janela 7 - max: 99.900000, min: 3.000000, media: 30.475000
janela 8 - max: 99.900000, min: 9.000000, media: 33.600000
janela 9 - max: 99.900000, min: 10.000000, media: 36.350000
janela 10 - max: 25.000000, min: 10.000000, media: 17.625000
janela 11 - max: 25.000000, min: 15.500000, media: 20.975000
janela 12 - max: 25.000000, min: 20.000000, media: 22.825000
janela 13 - max: 25.000000, min: 10.300000, media: 20.400000
janela 14 - max: 23.400000, min: 3.000000, media: 14.900000
janela 15 - max: 22.900000, min: 3.000000, media: 11.300000
janela 16 - max: 99.900000, min: 3.000000, media: 30.550000
janela 17 - max: 99.900000, min: 3.000000, media: 30.475000
janela 18 - max: 99.900000, min: 9.000000, media: 33.600000
janela 19 - max: 99.900000, min: 10.000000, media: 36.350000
janela 20 - max: 25.000000, min: 10.000000, media: 17.625000
janela 21 - max: 25.000000, min: 15.500000, media: 20.975000
janela 22 - max: 25.000000, min: 20.000000, media: 22.825000
janela 23 - max: 25.000000, min: 10.300000, media: 20.400000
janela 24 - max: 23.400000, min: 3.000000, media: 14.900000
janela 25 - max: 22.900000, min: 3.000000, media: 11.300000
janela 26 - max: 99.900000, min: 3.000000, media: 30.550000
seconds: 0.000134
tamanho da serie: 30, tamanho da janela: 4
serie total - max: 99.900000, min: 3.000000, media: 23.900000
janela 0 - max: 25.000000, min: 10.000000, media: 17.625000
janela 1 - max: 25.000000, min: 15.500000, media: 20.975000
janela 2 - max: 25.000000, min: 20.000000, media: 22.825000
janela 3 - max: 25.000000, min: 10.300000, media: 20.400000
janela 4 - max: 23.400000, min: 3.000000, media: 14.900000
janela 5 - max: 22.900000, min: 3.000000, media: 11.300000
janela 6 - max: 99.900000, min: 3.000000, media: 30.550000
janela 7 - max: 99.900000, min: 3.000000, media: 30.475000
janela 8 - max: 99.900000, min: 9.000000, media: 33.600000
janela 9 - max: 99.900000, min: 10.000000, media: 36.350000
janela 10 - max: 25.000000, min: 10.000000, media: 17.625000
janela 11 - max: 25.000000, min: 15.500000, media: 20.975000
